index,literal_version
10,"Я появился на свет пятьдесят лет назад, в центральной части России, в деревенском имении моего отца.

Мы не осознаём момента нашего рождения и ухода из жизни. Мне сообщили точную дату появления на свет, иначе сейчас я совершенно не представлял бы своего возраста, поскольку ещё никак не испытываю возрастных изменений, и следовательно, меня не посещала мысль, будто примерно через десять-двадцать лет мне предстоит умереть. Живя на необитаемом острове, я бы вообще не знал о существовании смерти. Возможно, это стало бы счастьем... Или наоборот, большим несчастьем? Верно ли утверждение, что я бы не узнал о ней? Ведь возможно, чувство смерти присуще человеку изначально? Предположим обратное, если бы я не подозревал о смерти, любил бы я жизнь столь же сильно, как она любима мной сейчас?

Что касается происхождения рода Арсеньевых, то оно практически неизвестно. Насколько вообще многое доступно нашему знанию! Единственно достоверное, что я осведомлён: наша фамилия указана среди родов, происхождение которых давно утрачено историей. Род наш известен, однако утратил прежнее влияние, и всю свою жизнь я воспринимал нашу принадлежность к такому роду как повод испытывать гордость и удовлетворение, ведь я не отношусь к людям, лишённым семейного корня и наследия.

В праздник Троицы православная церковь совершает особую службу памяти всех усопших людей с древности и произносит следующую проникновенную молитву:
«Господи, успокоь души рабов твоих в небесной обители твоей и покои в лоне Авраама всех предков наших и близких родственников, служивших тебе искренне от времён Адама и до сегодняшнего дня.»"
11,"Весь день прошел для меня словно в тумане и постоянно поддерживал меня в состоянии сильного напряжения: снова состоялись поминальные службы, снова собралось большое количество людей, среди которых были прибывшие и отъезжавшие соседи, а также дети играли беззаботно, еще ничего не понимая, в закрытой со всех сторон светлой комнате под наблюдением периодически тихонько плачущей няни...
Опять начало темнеть, и вновь люди начали приходить в зал, чтобы собраться и ожидать следующей поминальной службы, негромко разговаривая друг с другом... Затем появились священники, после чего наступило молчание, свечи были зажжены, произошло облачение в полной тишине, началось таинство подготовки к богослужению, а затем последовал первый размахивание кадилом и первое произнесенное слово – все эти события показались мне в этот заключительный вечер для умершего человека настолько важными, что я больше не смог смотреть вперед, на роскошный бархатный гроб, установленный на соединенных столах, и на тело, лежащее внутри гроба, покрытое золоченым покровом, украшенное золотой иконкой на груди и жесткой белой подушкой, погруженное в мрачную тьму вечного покоя, лицо которого имело черные впадины вокруг глаз и отражало металлический отблеск сквозь тепло и аромат дыма, мерцавшего жарким блеском."
12,"Приказания прокуратора были выполнены быстро и точно, и солнце, ярко светившее в последние дни над Ершалаимом, ещё не достигло своего полуденного положения, когда на верхней площадке садовой террасы возле статуй двух белых мраморных львов состоялась встреча между прокуратором и исполняющим обязанности председателя Синедриона иудейского первосвященником Иосифом Каифой.

Сад был тихий. Покинув укрытие колонн и оказавшись на верхнем участке сада, освещённом солнечными лучами, с расположенными здесь пальмами необычной формы, участок которого открывался прокуратору вид на весь город Ершалаим вместе с висячими мостами, укреплениями и главным образом величественным храмом, крытым золочёной плиткой, своим тонким слухом прокуратор услышал издалека слабый шум толпы снизу, иногда сопровождаемый тонкими возгласами.

Поняв услышанное, прокуратор сделал вывод, что внизу, около городских стен, уже собрался большой количество обеспокоенных недавними волнениями ершалаимских жителей, ожидающих решения суда, среди которых слышались голоса торговцев водой."
13,"Возможно, причиной изменения внешности прокуратора стали наступившие сумерки. Внешность его заметно преобразилась: он выглядел старше, сутулился и испытывал тревогу. В один момент он обернулся и неожиданно вздрогнул, посмотрев на пустующее кресло, спинка которого была покрыта плащом. Наступила праздничная ночь, стало темно, и, возможно, утомленному прокуратору почудилось присутствие кого-то в пустующем кресле. Поддавшись слабости, он тронул плащ рукой, потом оставил его и начал беспокойно ходить по балкону: тер руки, подбегал к столу, хватался за чашу, останавливался и начинал смотреть на пол, украшенный мозаикой, словно надеялся увидеть там какое-либо послание.

Сегодня прокуратор во второй раз ощутил чувство грусти. Поглаживая висок, в котором осталась лишь легкая боль после сильнейших утренних страданий, прокуратор пытался осознать причину своего внутреннего дискомфорта. Вскоре он осознал ее, однако попытался ввести себя в заблуждение. Ясно понимая, что днём совершил ошибку, которую сейчас хотел бы исправить незначительными и несвоевременными поступками, прокуратор стремился убедить себя, что нынешние, вечерние действия столь же существенны, как и вынесенный утром приговор. Однако прокуратору слабо удавалось преуспеть в этой попытке самообмана."
14,"Конференция прошла в политехническом институте. Я посетил данное мероприятие, провел беседу. Спустя пять минут необходимая информация оказалась подготовлена. Передал её в секретариат. Вскоре появился редактор Туронок, обладающий чрезмерно сладким и притворно вежливым характером. Обычно робкий и нерешительный человек, сейчас проявлял сильное возбуждение:
- Вами допущена грубая ошибка идеологического характера.
- Какая именно?
- Вы указали перечень стран…
- Это запрещено?
- Нет, указывать можно и даже необходимо. Однако важно учитывать порядок перечисления. Здесь указаны Венгрия, ГДР, Дания, далее следуют Польша, Советский Союз, ФРГ…
- По моему мнению, последовательность определена согласно алфавитному порядку.
- Подобный подход недопустим, - выразил недовольство Туронок, - имеется установленный строгий порядок: сначала демократические государства, потом нейтральные страны, и лишь затем государства-участники военного союза.
- Хорошо, согласен.
Я исправил информацию и вновь передал в секретариат. На следующий день снова пришел Туронок:
- Создается впечатление, будто вы насмехаетесь надо мной! Делаете это специально?
- Почему вы так считаете?
- В списке государств народной демократии нарушена правильная последовательность. Сначала указана ГДР, затем Венгрия. Опять применён алфавит? Необходимо забыть подобное понятие! Ведь вы сотрудник партийной газеты. Поместите Венгрию на третью позицию! Ранее там произошел государственный переворот.
- Но ведь между нашей страной и Германией ранее велись военные действия.
- Не стоит возражать! Чем вызваны ваши возражения? Эта страна уже совершенно другая! Непонятно, кому вообще поручено проверять вашу работу! Проявляете политическую ограниченность! Недоразвитость нравственных качеств! Вопросы будут поставлены соответствующим образом…
За предоставленную информацию мне выплатили вознаграждение в размере двух рублей. Предполагал получить сумму побольше — три рубля."
15,"В этой повести отсутствуют идеальные герои и абсолютные негодяи... Здесь нет ни добродетельных персонажей, ни преступников. Таких людей вообще не бывает в реальной жизни. Уже несколько лет я веду наблюдения...
Один редактор сказал мне следующее:
- Все твои персонажи ведут себя аморально. Если персонаж совершает плохое деяние, логика повествования должна привести его либо к нравственному падению, либо к наказанию. Но у тебя такие поступки выглядят совершенно обычными, как природные явления вроде дождя или снега...
- Почему вы считаете всех моих персонажей плохими людьми? - спросил я. - Приведите пример такого поступка.
Редактор смотрел на меня с подозрением, словно общался с человеком, находящимся среди неблагополучных знакомых и оправдывающим их поведение...
Уже долгое время я не делю реальных людей и книжных персонажей на хороших и плохих. Более того, я сомневаюсь, что каждое преступление обязательно вызывает чувство вины, а каждый героический поступок приносит счастье. Человек представляет собой именно таким, каким он воспринимает самого себя. Его качества, сильные стороны и недостатки выявляются жизнью... ""Моя природа - вот кто управляет мной..."" и прочее... Хорошо...
Эта повесть не содержит ни безупречных героев, ни явных злодеев, потому что их и не должно быть. Одним из главных действующих лиц являюсь я сам. Другой персонаж - Миша Шаблинский, известный своими специфическими выражениями типа ""спонтанная апперцепция"", ""имманентный дуализм""... Ещё один узнаваемый герой - Митя Кленский, популярность которому принесли привычка носить металлические зажимы для галстуков и курить толстые трубки из поддельного янтаря.
Что объединяло нас троих? Возможно, наше незначительное недовольство официальностью журналистской деятельности и некоторая склонность к здоровому скептицизму, позволяющему избегать пафосных высказываний...
Из тридцати двух работников нашего учреждения двадцать восемь именовали себя ""лучшими корреспондентами страны"". По принципу оригинальности мы три оставшихся назвали себя ""серебряными перьями"". Дмитрий Шер, однажды употребивший фразу ""искусственная почка стала обычным делом повседневной жизни"", имел репутацию посредственного журналиста."
16,"Утверждали, что в Благодатном нет ничего необычного: знаменитый бородинский дом обычный, возможно, даже с недостатком – одна сторона заметно перестроена после пожара, а сад обычный, старый, тенистый – такие сады встречаются часто в России; поля широкие, лес хорош, однако и это обычное явление; жители плохие: живут бедно, земли недостаточно, ранее переселялись, потом возвратились обратно, а во время волнений, хотя дом не подожгли и лошадей не лишили зрения, как произошло у соседа Бессонова, ходили слухи о намерении поджечь дом, уничтожить имущество и захватить бородинские земли. Когда говорили о странностях Петра Николаевича, сообщали такое невероятное, что стыдно повторить. В итоге всех просили избегать посещений Благодатного независимо от обстоятельств: место неблагоприятное.

Один доброжелатель рекомендовал Александре Павловне обратиться с жалобой к губернатору, но она категорически отказывалась выслушивать подобные предложения. По ее мнению, слухи совершенно необоснованны и поднимать этот вопрос бессмысленно. Действительно, кто угодно способен придумать любые обвинения, лишь бы переложить вину на другого человека. К тому же обсуждения постепенно затихли самостоятельно – ведь люди умнее, чем кажется внешне."
17,"Все дети обладали хорошим здоровьем, несмотря на многочисленные шалости: ради веселья и азарта поедали снег, выходили в одной рубашке в прохладные сенцы зимой, проглатывали крупных мух, чтобы заболеть и избежать посещения гимназии, а также употребляли засушенные покрытые плесенью просфоры, следуя советам бабушек, — якобы это помогает преодолеть страх во время грозы. Постоянно купались в прорубях. Все эти поступки никак негативно не сказывались на здоровье детей. Только Женя выделялся среди остальных. После перенесенных Колей заболеваний — скарлатины и кори — Женя заразился дифтеритом и временно потерял зрение. Со временем способность видеть вернулась, однако он регулярно испытывал сильные головные боли, ощущаемые преимущественно между бровями и в области висков. Когда начиналась боль, Женя сильно страдал, плакал жалобно, почти непрерывно издавая звуки, похожие на стоны. По ночам спящий мальчик совершал странные действия: выходил на крыши зданий, передвигался по карнизам. Во младенчестве, когда случались приступы, ребенка укладывали рядом с мощами святых, и дома у Вареньки в иконостасе находились специальные предметы — бархатные варежки и шапочка, соприкасавшиеся с этими святыми останками, которыми протирали лицо мальчика. Иногда девочку Прасковью отправляли с ним в Боголюбовский монастырь к священнику-отшельнику отцу Глебу молиться об избавлении от страданий, после чего наблюдалось некоторое облегчение состояния. У Жени взгляд часто выглядел печальным, он редко участвовал в драках, но если вспыхивал гнев, действовал решительно."
18,"Вавилен Татарский появился на свет задолго до исторического события, связанного с победой одного красного цвета над другим. По этой причине он оказался представителем поколения «П», хотя долгое время ничего об этом не знал. Если бы кто-то сообщил ему тогда, что впоследствии он будет заниматься деятельностью копирайтера, вероятно, он сильно удивился бы настолько, что случайно пролил бы напиток «Пепси-кола» на нагретый песок пляжа. В указанный период дети обычно мечтали стать пожарниками или врачами. Даже такое простое понятие, как «дизайнер», воспринималось тогда как малопонятное заимствование, временно закрепившееся в русском языке вплоть до возможного ухудшения ситуации в международных отношениях.

Однако в те времена русский язык и повседневная жизнь были полны необычных явлений и непонятных вещей. Например, свое собственное имя «Вавилен», данное отцом, Татарскому казалась весьма необычным. Это имя было искусственно создано путем объединения фамилий писателя Василия Аксёнова и политического деятеля Владимира Ленина. Вероятно, отец Татарского представлял себе типичного приверженца идей Ленина, осознававшего важность свободной любви благодаря произведениям Аксёнова, либо эстетствующего поклонника джаза, внезапно убеждающегося в неизбежности победы коммунистического строя после прослушивания длинной ноты, исполненной на саксофоне. Однако подобные взгляды разделяли не только родители Татарского: аналогичные воззрения отличали большинство советских людей периода конца пятидесятых и начала шестидесятых годов прошлого века, прославившихся созданием жанра любительской песни и запустивших в космическое пространство первый спутник Земли, символизировавший собой несостоявшееся будущее.

Сам Татарский испытывал чувство смущения от собственного имени и предпочитал обращаться к окружающим как Владимир. Позже он начал придумывать своим приятелям неправдивую историю о происхождении имени, утверждая, будто отец дал ему имя вследствие увлечения восточными учениями и стремился указать на связь сына с городом Вавилоном, знания и мудрость которого он должен будет перенять. Соединение же имен Аксёнов и Ленин якобы произошло из-за увлеченности отца философией, согласно которой считалось необходимым совмещать противоположные идеи. Хотя эта версия звучала убедительно, Татарский охотно избавился от паспорта с именем Вавилен, получив новый документ уже на имя Владимир."
19,"Тверской бульвар выглядел практически так же, как и два года назад, когда я видел его последний раз – снова наступил февраль, повсюду лежали сугробы, царила тёмная погода, проникавшая даже сквозь дневной свет. На лавочках сидели такие же пожилые женщины, неподвижно ожидающие; сверху, среди голых чёрных деревьев, тускло проглядывало такое же пасмурное зимнее небо.

Однако были некоторые отличия. В этот зимний период по дорожкам гулял сильный ветер, несущий снег, подобный буре в открытой местности; встретив пару диких животных, я бы воспринял это спокойно. Бронзовая статуя Пушкина выглядела немного грустнее обычного, вероятно потому, что на ней висел красный фартук с надписью: «Да здравствует первая годовщина революции». У меня не возникло стремления язвительно комментировать тот факт, что поздравление адресовалось именно годовщине события, тогда как само слово «революция» написано неправильно, с устаревшей буквой «ять» – недавно я уже убедился во многих проявлениях абсурдности и мрачной сущности, скрывающейся за подобными неуместными лозунгами красного цвета.

Сумерки уже сгущались. Из-за плотной снежной завесы едва различимым оставался Страстной монастырь. Перед зданием монастыря находились две грузовые машины с открытыми кузовами, покрытые яркой красной тканью; рядом собралась группа людей, слышался голос выступающего человека, отдельные слова которого звучали неразборчиво, однако общий смысл речи легко воспринимался благодаря чёткому произношению звуков «р» в словах «пролетариат» и «террор». Рядом со мной прошли двое солдат, находящихся в состоянии алкогольного опьянения, за спиной каждого из них покачивались винтовки со штыком. Один из солдат задержал на мне пристальный взгляд, притормозил шаг и приготовился заговорить; к счастью, его товарищ потянул его за одежду, и они продолжили путь дальше."
20,"В этот период открылась дверь, и Вощев заметил ночью работавшего косаря с чайником для группы рабочих: вода закипела на плите, которую растопили во дворе общежития; период сна завершился, настала пора принимать пищу перед началом трудового дня… Деревянные сельские часы висели на стене и исправно работали благодаря силе тяжести маятника; механизм часов украшал рисунок цветка, предназначенный успокаивать любого, смотрящего на ход времени. Рабочие расположились вдоль длинного стола, косарь, исполнявший обязанности повара в общежитии, разрезал хлеб и раздал каждому по кусочку хлеба, дополнительно дав каждому небольшой кусок вчерашнего холодного мяса. Рабочие приступили к еде серьёзно, воспринимая поступающую еду как необходимое действие, не испытывая удовольствия от приема пищи. Несмотря на осознание смысла жизни, что является условием абсолютного счастья, их лица выглядели мрачными и истощёнными, вместо удовлетворения жизнью они испытывали утомление. Вощев смотрел на этих печальных существ, способных сдержанно сохранять правду в душе, испытывая робкую надежду и опасаясь потери; он уже чувствовал удовлетворение даже тем фактом, что правда существует в лице ближайшего к нему человека, недавно говорившего с ним, следовательно, достаточно находиться рядом с таким человеком, чтобы обрести выносливость и работоспособность.

— Пойдем вместе поедим! — пригласили Вощева рабочие.

Вощев поднялся и, ещё не уверенный окончательно в целесообразности существования окружающего мира, направился есть, ощущая неловкость и тревогу."
21,"Машинист-наставник наблюдал, как Захар Павлович аккуратно очищает топки локомотивов, бережно относясь к металлу и доводя поверхности до идеальной чистоты, однако никогда не хвалил его. Наставник понимал, что работа машин зависит больше от внутренних свойств материалов и законов физики, нежели от знаний и мастерства человека; участие человека минимально. Природные ресурсы, энергия и материалы позволяют людям достигать успеха, несмотря на отсутствие значительных усилий. Даже неумелый работник способен зажечь огонь в топке, после чего двигатель заработает самостоятельно, а рабочий будет лишь пассивным наблюдателем. В случае дальнейшего упрощения эксплуатации техники люди потеряют ценность вследствие ненадёжности достигнутых результатов и станут бесполезны подобно коррозии металлов. Машинам же останется вытеснить ненужных работников и взять инициативу в своё распоряжение. Тем не менее наставник критиковал Захара Павловича реже остальных машинистов, поскольку последний использовал инструменты осторожно, не проявлял грубости и небрежности во время работы на локомотиве.

Однажды набравшись смелости благодаря своей увлечённости делом, Захар Павлович спросил наставника:

– Разрешите узнать ваше мнение: почему люди столь посредственны, а каждая машина обладает выдающимися характеристиками?

На вопрос этот наставник реагировал раздражённо, потому что считал свою привязанность к локомотивам исключительно личным чувством.

Про себя наставник думал: «Вот ещё один чудак появился... зачем ему нужно изучать технику?»

Оба стояли рядом с локомотивом, который нагревался для предстоящего ночного скорого рейса. Несколько минут наставник внимательно рассматривал машину, испытывая привычное удовольствие. Локомотив был крупным, тёплым, внушительным, отличаясь гармоничностью форм. У наставника возникло неясное приятное ощущение восторга. Ворота депо открывались наружу, позволяя видеть летний вечерний пейзаж, ассоциировавшийся с будущим временем, возможностью снова ощутить ветер и скорость на железнодорожных путях, испытать волнение ночью вместе с тихим равномерным шумом исправной машины.

У наставника непроизвольно сжались кулаки, вызванные ощущением подъёма жизненных сил, сходным с юностью и предвосхищением будущих свершений. Он перестал воспринимать Захара Павловича как недостаточно квалифицированного работника и заговорил с ним дружелюбно:

– Работа помогла тебе приобрести опыт и знания. Человек же несостоятелен... Дома лежит и ничего полезного не делает... А взгляни хотя бы на птиц..."
22,"Городок Федор-Кузьмичск расположен на семи холмах, окруженный обширными полями и неизведанными землями. К северу простираются густые леса, захламленные валежником, переплетенные ветки деревьев мешают проходу, кустарники цепляются за одежду, ветви сбрасывают головные уборы. Согласно рассказам старожилов, в этих лесах обитает существо, называемое кысь. Оно сидит на ветках деревьев и издает странные звуки: кы-ысь! кы-ысь!, однако увидеть его невозможно. Когда человек входит в этот лес, кысь внезапно атакует его сзади, ломая позвоночник и разрывая важнейший кровеносный сосуд, вследствие чего человек теряет рассудок. Возвращаясь обратно, пострадавший уже не является прежним человеком, его взгляд становится бессмысленным, он двигается беспорядочно, как сомнамбул. Родственники приводят такого человека домой, иногда ради забавы ставят перед ним пустую тарелку и вручают ложку, имитируя прием пищи; потерпевший совершает механические движения, якобы принимая пищу, хотя тарелки пусты, родственники смеются над этим зрелищем. Самостоятельно больной человек не способен ни заботиться о себе, ни соблюдать гигиену, нуждаясь в постоянном уходе. Некоторые заботливые супруги или родители отводят его в специальное помещение, а если уход отсутствует, он умирает подобно лопнувшему пузырю.

Таким образом действует кысь.

Не рекомендуется идти также на запад. Хотя кажется, что там имеется едва заметная дорожка, похожая на тропинку, путь ведет прочь от города. Человек движется вперед, город постепенно исчезает из виду, легкие дуновения ветра приносят приятные ощущения, создается впечатление благополучия, но неожиданно возникает чувство растерянности: человек останавливается, задумываясь о цели своего путешествия, задается вопросом, зачем туда нужно идти, ведь он уже знаком с местностью впереди, и вряд ли там будет лучше. Возникает острое ощущение собственной беспомощности, терзание охватывает душу. Размышляя, человек вспоминает свою дом, возможно оплакивающую хозяйку, домашних куриц, тепло натопленной печи, уют домашней обстановки. Тоска усиливается, он чувствует себя потерянным и одиноким. Наконец, плевок заставляет его вернуться назад, иногда он даже бежит, испытывая облегчение при виде родных предметов издалека, и слезы текут непроизвольно. Действительно, настолько сильно, что капли катятся до самого подбородка."
23,"Вы мне симпатичны, Александра Эрнестовна, особенно на одной вашей фотографии, где ваше лицо имеет определенную округлую форму, и на другой, где вы отклоняете голову назад и улыбаетесь красивой улыбкой, демонстрируя зубы, и еще на одной, где вы изображаете раздраженность, а рука ваша расположена на затылке таким образом, что кружевные украшения умышленно соскользнули с вашего локтя. Меня привлекает ваша обыденная, прошедшая незамеченной жизнь, быстро закончившаяся юность, умершие поклонники и бывшие супруги, последовавшие друг за другом последовательно, все те, кто обращался к вам, и те, кому адресовались обращения именно вами, каждый человек, встретившийся вам и исчезнувший навсегда из поля зрения. Я буду посещать вас регулярно и привозить молоко и морковь, которую полезно употреблять в пищу для улучшения состояния органов зрения, а вы, прошу вас, открывайте старые, долго хранившиеся альбомы из бархата темно-коричневого цвета, содержащие фотоснимки прошлого, чтобы освежить воспоминания о милых девушках-гимназистках, мужчинах средних лет с бородами и усами, улыбающемся мужественном мужчине по имени Иван Николаевич. Нет проблем, он вас не замечает, зачем беспокоиться, Александра Эрнестовна?! Необходимо было принять решение ранее. Нужно было. Но ведь вы приняли решение уже давно. Его изображение находится здесь близко, вытяните руку и дотроньтесь! Возьмите фотографию Ивана Николаевича, подержите в руках, она плоская, прохладная, слегка блестящая, края обложки покрыты тонким слоем золота, бумага немного пожелтела. Послушайте меня внимательно, вы поняли: она приняла решение ехать, теперь она точно собирается отправиться туда, прекратила колебаться окончательно, встречайте ее, где вы находитесь сейчас?
Многочисленные события, дни и годы сменяли друг друга подобно прозрачным тканям, закрывающим видимость, плотно уплотняясь вокруг и создавая препятствия на пути Александры Эрнестовны к ее далекому любимому человеку. Любимый остался в прошлом, живет отдельно от нее во времени, одинокий, пребывая на старой железнодорожной станции южного региона, он неспешно перемещается вдоль грязного железнодорожного полотна, покрытым брошенными семечками, периодически поглядывает на наручные часы, отталкивая ногой сухие стебли початков кукурузы, отрывая иголки сосновых деревьев, ожидая прибытия поезда издалека, нагретого солнечными лучами. Однако поезд не прибыл. Поезд не прибудет сюда. Обещание поездки оказалось ложью. Нет-нет, неверно утверждать, будто она отказалась, ведь желание поехать существовало! Желание возникло, и необходимые вещи упакованы заранее. Легкие белые наряды одежды аккуратно сложены внутри закрытого деревянного контейнера, футляр из кожи потрескивается от долгого хранения, поверхность металлических деталей блестит слабым светом, непристойные предметы гардероба для плавания ожидают возможности надеть себя кем-либо вновь, испытывая чувство ожидания... Внутри коробки, предназначенной специально для головных уборов, хранится удивительно легкий и приятный материал белого оттенка, обладающий воздушностью и легкостью. Еще одна коробка содержит предмет, расположенный вверх ногами, представляющий собой коробочку с различными мелкими предметами внутри: заколки, расчески, тонкие ленты из шелковой ткани, мельчайшие крупицы кристаллических камней, приклеенные к небольшим деревянным инструментам, применяемым для ухода за ногтями рук; также имеются незначительные мелочи. Бутылочка, содержащая ароматизированную жидкость с запахом жасмина, закрыта герметично стеклянной пробкой, при попадании солнечного света способна отражать лучи яркими переливающимися цветами. Готовность путешествия была обеспечена, однако что препятствовало осуществлению замысла? Что обычно становится причиной препятствий наших планов?"
24,"Он упал лицом в траву, которая превратилась в мелкие частицы пыли под его щекой, и сжался от раздражения, потому что оказался неудачливым. Лежал неподвижно, рассчитывая, что опасность минует сама собой, хотя осознавал неизбежность неудачи. Температура увеличивалась, охватывала всё тело подобно мокрой горячей простыне, пот струился в глазах, и лишь после этого Рэдрик громко предупредил Арчибальда: «Не двигайся! Терпите!» Сам тоже терпеливо ожидал дальнейшего развития событий. Возможно, ситуация разрешилась бы относительно удачно, без существенных последствий, однако первым сдался Арчибальд. Вероятно, он либо не услышал предупреждения Рэдрика, либо настолько испугался, что позабыл наставления и правила поведения, либо внезапно ощутил ещё большую боль, нежели Рэдрик. В результате он потерял способность контролировать себя и необдуманно бросился вперёд, пригнувшись и издав нечленораздельный звук, движимый примитивным инстинктом самосохранения — назад, хотя именно там находиться было крайне опасно. Рэдрику удалось быстро подняться и схватить его за ногу двумя руками, вследствие чего Арчибальд всей массой тела ударился о поверхность земли, поднял облако золы, вскрикнул странным высоким голосом и резко пнул Рэдрика другой ногой прямо в лицо, начал беспорядочно извиваться и брыкаться. Несмотря на мучительную боль, Рэдрик накрыл его своим телом, прижавшись обожжённым лицом к кожаному материалу одежды, пытаясь физически подавить сопротивление противника, удерживая рукой дергающуюся голову и хаотично бил ногами и коленями по земле, телу и конечностям Арчибальда. Нечётко различая звуки дыхания и слабого стенания снизу, Рэдрик бессвязно произнёс сквозь сдавленное дыхание: «Тихо лежать, негодяй, иначе убью...», ощущая сверху давление множества горячих углей, воспламенявших одежду, треск кожи на поверхности конечностей и туловища, пузырящейся и разрывающейся от жара. Упрятав своё лицо в серую золу, судорожно придавливая грудь к голове другого человека, он больше не мог сдерживать эмоции и издал громкий протяжный крик."
25,"Хотел бы я узнать итог всего происходящего. Десять лет назад я был абсолютно уверен в результате. Должна была существовать непроходимая граница. Полоса протяженностью пятьдесят километров, где находились исключительно учёные и военные. Опасная область на поверхности моей планеты должна была быть надёжно блокирована. Казалось, большинство разделяло мою точку зрения. Какие выступления звучали, какие проекты законов выдвигались... Теперь невозможно вспомнить, каким способом прежняя твёрдая уверенность неожиданно исчезла. По сути, одна позиция верна, другая также справедлива. Вероятно, процесс начался, когда сталкеры впервые принесли из опасной зоны необычные предметы, называемые батареями. Выяснилось, что данная территория представляла собой не угрозу, а кладезь ценных ресурсов. Сейчас уже никто точно не осознаёт природу этой области. Люди используют ресурсы постепенно. Уже десять лет продолжаются исследования, потрачено огромное количество денег, однако эффективная система добычи пока не создана. Каждый человек ведёт собственную небольшую коммерческую деятельность, а учёные авторитетно заявляют: учитывая определённые аспекты, следует принять одну позицию, одновременно признавая обоснованность противоположной точки зрения, потому что конкретный объект после воздействия рентгеновского излучения под заданным углом испускает квазитепловые электроны. Но всё равно я не смогу дождаться завершения ситуации."
26,"С самого начала дня возникли проблемы: прекратилась работа интернета. Сонный Матвей сел в компьютерное кресло и коснулся клавиш клавиатуры почти случайно, обнаружив неприятную новость: соединение отсутствует. Позвонив своему поставщику услуг, он получил следующий ответ:

– Произошла авария на магистральной линии связи. Вероятно, неполадка будет устранена примерно за двадцать четыре часа.

Матвей внимательно рассматривал изображение на экране своего компьютера, стараясь осознать серьезность ситуации. Это был большой удар! В течение двадцати четырех часов доступ к интернету невозможен. Это ужасно! Впереди оставалось много свободного времени до начала занятий в школе – около четырёх часов. За это время он мог бы поиграть онлайн с друзьями в какую-либо игру или провести время на своем любимом игровом сервере Minecraft. Разумеется, мобильный телефон также имеет выход в сеть, однако качество такого подключения недостаточно хорошее. Для полноценного игрового процесса необходимы высокая четкость графики и качественный звук, вызывающие реакцию соседей.

Огорчённый происходящим, Матвей направился на кухню, устроившись на стуле возле барной стойки, положил руки на лицо и тяжело выдохнул. День уже был испорчен. Его мать, напротив, энергично ходила по кухне в домашних туфлях – перемещаясь между холодильником, столом, плитой, кофеваркой и обратно. Наблюдая за этими движениями, Матвей испытывал раздражение.

– Мне нужен сок и тост, – произнес он хмурым голосом.

По пути мимо стула мама быстро прикоснулась губами к голове сына:

– Доброе утро, мой сердитый мальчик!

Матвей резко повернул голову, демонстрируя недовольство. Почему она постоянно проявляет чрезмерную заботливость? Она прекрасно осведомлена, что он испытывает неприязнь ко всей этой сентиментальности. Ведь он не девочка."
27,"Открыв дверь салона, Лена замерла, увидев студентку Марину, надевавшую рабочий халат. Ноги у нее ослабели. Она снова ошиблась: жила по графику пятницы, тогда как остальные считали, что сейчас среда. Из-за этой ошибки Лена лишилась работы на сегодняшний день и заработка. Дело в том, что уборка в салоне осуществлялась Мариной, а Лена выполняла эту работу по вторникам и пятницам.

– Лена, почему ты пришла сюда? Сегодня же не твоя смена, – спросила пожилая сотрудница-парикмахерша, которая договаривалась с владелицей о трудоустройстве несовершеннолетней ученицы вне официального оформления.

– Сегодня моя смена! Именно моя! – громко закричала Лена дрожащим голосом, ощущая потерю контроля над собой. Ее раздражали постоянные путаницы и невозможность разобраться во всей ситуации. Казалось, будто она оказалась в бессмысленном мире, где всё шло наперекосяк. Но когда же это прекратится?

– Лена, твоя смена бывает в пятницу, сегодня ты ошиблась днем недели, – спокойно произнесла парикмахерша.

– Пожалуйста, скажите правду, тетя Мила, разве сегодня не пятница?! – попросила девочка. – Почему никто не признает очевидного?

– С тобой всё нормально, Лена?

– Нет, ненормально именно с вами! Вы потеряны и считаете, что сегодня среда.

Две посетительницы внимательно смотрели на происходящее. Парикмахерша взяла Лену за локоть и отвела в служебное помещение, чтобы избежать любопытства окружающих. Здесь она дала девочке стакан воды и посадила на изношенный диван.

– Устала ты сильно, – рассуждала она, поглаживая Лену по волосам, – утомилась чрезмерной работой. Редко встретишь ребенка, работающего больше многих взрослых людей. Нужно отдохнуть, провести время с друзьями.

– Я не ребенок, – ответила Лена, отстраняясь от прикосновения женщины. – Мне уже исполнилось тринадцать лет.

– Тринадцать, двенадцать... какая разница? Ты должна отдыхать и развлекаться, а ты одна заботишься обо всей семье.

– От игрушек меня только избавьте! Нет смысла терять время зря! День такой короткий, столько всего нужно успеть сделать.

– Бедняжка, – вздохнула женщина. – Я собрала одежду для твоих братьев. Одёжка хорошая, мой внук аккуратен в обращении.

– Ничего не нужно, – отказалась Лена, вставая.

– Но мальчики быстро растут, одежда быстро становится мала!

"
