index,literal_version
10,"Одновременно с отменой государством льготной ипотеки, ускорявшей развитие сектора индивидуального жилищного строительства, многие компании, одновременно строившие несколько объектов, столкнулись с финансовыми трудностями и прекратили свою деятельность.

Генеральный директор компании «Загородная недвижимость Урала» Александр Свитеньков сообщил, что из более чем тысячи предприятий, работавших ранее в сегменте ИЖС Екатеринбурга, продолжают функционировать и получили доступ к проектному финансированию около 40. Сегодня средства банковских кредитов (примерно от 50 до 100 миллионов рублей) недостаточно для обеспечения предыдущих объёмов строительства.

Александр Свитеньков привел следующий пример: «Несколько лет назад наша компания возводила сто домов ежегодно. В прошлом году построено только 28 домов, а в текущем заключено договоров на строительство 12–15 домов. Из-за снижения объемов строительства пришлось уменьшить численность персонала. Сократилось число сотрудников офиса с 37 до 10 человек, на строительной площадке осталось от 50 до 80 работников из 400».

По словам Свитенькова, многие участники рынка сейчас имеют убытки из-за высоких темпов инфляции, что приводит к многочисленным случаям банкротства, а иногда и уголовным разбирательствам.

Эдуард Богданов отметил, что в 2025 году стоимость загородной недвижимости выросла примерно на 15,2%, однако дальнейший рост прекратился.

Богданов также добавил: «Сейчас возможно найти предложения с торговым снижением цен, широкий ассортимент предложений имеется как среди земельных участков, так и жилых домов. Ожидаю возобновления роста цен в период 2027–2028 годов после возврата привлекательных ипотечных ставок, способствующих увеличению числа покупателей».

Эксперты считают, что в течение 2026 года сегмент индивидуального жилья будет адаптироваться и меняться. Компании с недостаточным капиталом и низкокачественным предложением покинут рынок, тогда как организации с эффективным управлением и достаточными ресурсами укрепят свои позиции.

Александр Игнатов подчеркнул, что рынок выходит из этапа хаотичного развития в более стабильную фазу. Будущий успех обеспечат не просто комплексы застройки, а предложения комплексного продукта для конечного потребителя: земельный участок с подведёнными коммуникациями, подъездными путями, необходимой инфраструктурой и прозрачными юридическими условиями, либо комбинированное предложение вида «земельный участок плюс жилой дом». Такие проекты смогут привлечь большую часть спроса.

Для реализации крупных комплексных проектов необходима финансовая поддержка не только самих застройщиков, но и государственных структур в части инфраструктуры дорог и инженерных сетей, чего пока не наблюдается в полном объёме."
11,"Угроза квантовых технологий разделила сообщество пользователей биткоина на две группы: тех, кто поддерживает добровольный переход на механизмы защиты, и тех, кто предлагает принудительное ограничение обращения наиболее уязвимых активов.

Сообщество пользователей биткоина сталкивается с серьёзным идейным вызовом последних лет. Вопрос обеспечения безопасности сети от возможных угроз квантовых компьютеров привёл к разногласиям среди разработчиков. Один из руководителей компании Blockstream Адам Бэк обратился к сообществу с предложением добровольно перейти на новые защищённые механизмы безопасности. Другой представитель сообщества, разработчик и основатель проекта Casa Джеймсон Лопп выступил с инициативой ограничить обращение миллионов биткоинов, находящихся в долгосрочном хранении, включая активы анонимного основателя криптовалюты Сатоши Накамото.

Спор, ещё недавно рассматривавшийся исключительно как теоретический, приобрёл повышенную срочность после публикации результатов исследований специалистов компании Google в марте текущего года. В отчёте объёмом свыше 50 страниц были представлены методики и подходы, значительно снижающие затраты на вскрытие криптографических схем, лежащих в основе безопасного функционирования сетей биткоина, эфириума и большинства иных цифровых валют. Согласно данным учёных, высокопроизводительные компьютеры, способные реализовать подобные атаки, появятся раньше прогнозируемых сроков — не к середине 2030-х годов, а уже ближе к концу текущего десятилетия.

Речь идёт о возможной опасности для миллионов единиц цифровой валюты старого образца, принадлежащих различным участникам рынка, включая и предполагаемые накопления основателя биткоина Сатоши Накамото. По расчётам исследователей Google, общая сумма таких активов составляет около 2,3 миллиона биткоинов, что эквивалентно примерно 170 миллиардам долларов США по состоянию на апрель 2023 года.

Атака с использованием квантового компьютера против блокчейна подразумевает возможность восстановления закрытого ключа пользователя по открытому. Ключевая задача подобного взлома сейчас представляется крайне сложной и практически невыполнимой с точки зрения современных вычислительных мощностей, однако квантовые алгоритмы позволяют решить её гораздо быстрее и проще.

Первый сценарий предполагает, что злоумышленник выявляет адреса, чьи открытые ключи уже раскрыты, и получает доступ к активам путём расчёта соответствующего закрытого ключа. Второй вариант развития событий предусматривает ситуацию, когда злоумышленник перехватывает транзакцию до момента её добавления в блок цепи, добывая открытый ключ и вычисляя закрытый ключ, затем замещая оригинальную транзакцию собственной. Более опасным является именно второй способ атаки, поскольку он угрожает не только старому и малоподвижному капиталу, но и любым обычным переводам внутри системы."
12,"Семь известных сталинских высоток привлекают внимание жителей Москвы, российских и иностранных туристов. Во время экскурсий по Москве, известной своими семью холмами, рассказывается о строителях и архитекторах, сотрудниках органов государственной безопасности, особенностях оформления садов и фонтанов, а также о причине, почему рекомендуется подойти к главному зданию МГУ с дозиметром. Согласно словам руководителя туристической компании ""Незабываемая Москва"", такие экскурсии чаще заказываются россиянами, реже иностранцами. В самих высотках проводятся лишь отдельные организованные посещения, поскольку некоторые здания имеют особый режим посещений и пропускную систему.

Посетить высотные здания возможно не только гостиницы, но и обычные жилые дома.

Для любителей балета особенно привлекательным является посещение квартиры-музея балерины Галины Улановой, расположенной в высотке на Котельнической набережной. Запись на экскурсию проводится заранее.

Отзывы гостей содержат положительные оценки работы гидов, впечатляющих интерьеров и уникальных экспонатов. Автор отзывов благодарит организаторов за предоставленную возможность ознакомиться с историческим периодом жизни знаменитой балерины. Помимо прочего, гости выделяют великолепные виды из окон зданий и величественность архитектуры самих высоток."
13,"На круглом столе на тему «Кадры для роботизации: как подготовить инженеров будущего» председатель партии «Новые люди» Алексей Нечаев сразу приступил к обсуждению конкретных вопросов и начал с вопроса разработки системы распознавания лиц. Он отметил, что несмотря на известную поговорку, существуют вещи, которым ещё предстоит научиться. Затем он сообщил, что участники мероприятия обладают знаниями о роботизации, включая особенности влияния роботизации на русский язык. По мнению докладчика, комментарии к его выступлению были излишними, поскольку тема была ясной и понятной. Когда говорят о роботизации, обсуждение наличия или отсутствия альтернатив зачастую отсутствует. Это связано с тем, что раньше использовался дешёвый человеческий труд, стоивший около 20 тысяч рублей в месяц. Сейчас такого уровня оплаты труда больше не существует, следовательно, работники смогут получать большую заработную плату. Следовательно, нужно принять, что оплата труда работников в размере 20 тысяч рублей сейчас отсутствует, поскольку человеческое достоинство нельзя оценивать деньгами. После чего Нечаев привёл пример своей компании «Фаберлик»: за последние десять лет благодаря постепенной автоматизации и роботизации производственный процесс стал эффективнее почти в двадцать раз. Зарплата сотрудников, занятых в процессе работы, увеличилась примерно в три раза. Однако докладчик подчеркнул, что речь шла только о работниках, продолжавших свою деятельность после внедрения автоматизации. Обсудив эти данные, он заметил, что значительный рост производительности труда сопровождался лишь трёхкратным увеличением заработной платы."
14,"АДРИАН ЛАХДО — футболист, которого оценили в 1 миллион евро, перешёл в футбольный клуб «Комо» за сумму в размере 12 миллионов евро.

Адриану Лахдо 18 лет, он является игроком центрального оборонительного амплуа шведского происхождения. С раннего возраста выступает за сборные команды своей страны различного возраста: он был лидером юношеской сборной и сейчас играет важную роль в составе молодежной национальной команды. Несмотря на возраст, опыт выступлений за профессиональный клуб «Хаммарбю» пока небольшой — меньше двадцати матчей. За сезон 2025 года он провёл некоторое количество игр как за основной состав клуба, так и за вторую команду, выступающую во втором дивизионе. По мнению специалистов, таких показателей недостаточно, чтобы привлечь внимание клубов, играющих в чемпионатах высокого уровня, однако Лахдо всё-таки перешёл в один из ведущих европейских чемпионатов.

Сложно сказать точно, какие качества данного игрока обратили на себя внимание скаутов итальянского футбольного клуба «Комо». Однако известно, что команда традиционно делает акцент на приобретении молодых футболистов европейского уровня, и часто их выбор оказывается успешным. Значит, специалисты «Комо» заметили в молодом шведском защитнике определённые достоинства, иначе не заплатили бы такую значительную сумму денег — вместо одного миллиона евро они вложили двенадцать.

КАДЕР МЕЙТЕ — игрок, стоимость которого оценивалась в десять миллионов евро, был приобретён клубом «Аль-Хиляль» за тридцать миллионов евро.

Покупка Кадера Мейте не вызывает удивления прежде всего потому, что за футболиста заплатил именно саудовский клуб. Команды Саудовской Аравии известны традицией тратить значительные финансовые средства на приобретение игроков, и это происходит независимо от конкретных характеристик спортсменов. В данном случае они приобрели футболиста, которому восемнадцать лет и который демонстрирует хорошие перспективы.

Кадер Мейте тренировался в футбольной академии французского клуба «Ренн» с пятнадцатилетнего возраста, постепенно прогрессируя от младших команд до первой команды клуба. Хотя он не сразу закрепился в основном составе, тренерский штаб видел в нём потенциал. Его отличали умение бороться за верховые мячи, способность действовать эффективно в роли нападающего как в центральной зоне атаки, так и на фланге, надёжность при ударах соперника, хорошая техника контроля мяча корпусом и устойчивость к давлению соперников. Кроме того, ежемесячно улучшалась его техника передач мяча. Благодаря таким качествам уже начинал выступления за молодёжную сборную Франции до 21 года. Перспективы развития игрока казались очевидными, и вряд ли случайно на фоне такого прогресса рассматривается переход Кадера Мейте в клуб Саудовской Аравии, где условия профессионального роста выглядят менее благоприятными. Похоже, что игрок сделал выбор в пользу финансового вознаграждения, а не возможностей дальнейшего спортивного роста."
15,"Компания DFC Intelligence провела исследование рынка игровых консолей, результаты которого были опубликованы изданием VentureBeat.

Согласно отчету специалистов, новая игровая консоль Nintendo Switch 2 может занять лидирующие позиции на рынке аналитики предполагают, что в течение следующих двух лет именно эта консоль будет наиболее востребованной среди потребителей. Данной точки зрения способствовали два фактора: повышенный интерес пользователей персональных компьютеров и выпуск эксклюзивных видеоигр.

Эксперты считают, что устройство имеет хорошие рыночные перспективы благодаря высокому потребительскому спросу на компактные игровые устройства. При этом отмечается отсутствие аналогичных компактных моделей у основных конкурентов — компаний Sony и Microsoft.

Кроме того, специалисты обратили внимание на высокое качество программного обеспечения, разработанного специально для Nintendo Switch. Более 80% игр для данной платформы выпускаются непосредственно Nintendo либо студиями, находящимися под контролем компании. По сравнению с этим, примерно 85% игр для PlayStation создаются независимыми разработчиками.

Авторы исследования также указали на высокий уровень привлекательности Nintendo Switch среди владельцев персональных компьютеров. Согласно представленным данным, 44% пользователей ПК владеют консолью Nintendo.

Презентация модели Nintendo Switch 2 состоялась в апреле. Конструктивные особенности включают дисплей диагональю 7,9 дюйма с частотой обновления экрана 120 Гц, новые контроллеры с магнитным креплением и функцию увеличения разрешения графики до формата 4K."
16,"Исторические локации и новые проекты  
Компания «Балтийская коммерция» купила участок площадью примерно 5,5 тыс. м² на Новгородской ул., 14 весной 2024 г. До этого здесь находился бизнес-центр класса С, а рядом был возведён жилой комплекс «Форсайт», принадлежащий той же компании.  

«Балтийская коммерция» занимается строительством в историческом центре Санкт-Петербурга с конца 90-х гг. Последние реализованные проекты включают реконструкцию советского лицея на пр. Представителя Римского-Корсакова и строительство премиального жилого квартала возле станции метро «Чкаловская». Район Песков считается одним из наиболее престижных районов города, однако после 2010 г. здесь начали появляться новостройки не только премиум-, но и бизнес-класса.  

Жители района ценят его спокойствие и отсутствие шумной туристической активности. Эксперты отмечают, что район ещё содержит промышленные зоны, доставшиеся городу от ранее расположенной промзоны.  

Рынок элитного жилья и перспективы развития  
С начала 2024 г. в центральной части Санкт-Петербурга появились два новых жилых комплекса общей вместимостью 448 квартир: премиальный «Моисеенко 10» и объект бизнес-класса N8. Кроме того, реализуется ряд других проектов, среди которых ЖК ПСК и реконструкция Мытного двора. Свободных земельных участков для нового строительства в центре почти не осталось, тогда как спрос на элитное жильё остаётся высоким.  

Брокеры указывают, что единичные свободные участки ещё остаются в районе пл. Возрождения и улицы Черняховского. Основной потенциал для расширения центра находится между Синопской наб. и Новгородской ул.: там компания «ТГК-1» планирует реализовать крупный проект редевелопмента Центрального теплового энергетического комплекса. Проект предусматривает создание общественного пространства, связанного с городской застройкой и набережной. Уже одобрен первый этап, включающий зону отдыха и заведения общественного питания.  

Санкт-Петербург продолжает развиваться: старые исторические районы обновляются, и новые элитные жилые комплексы интегрируются в существующую городскую среду, создавая сочетание элементов прошлого и будущего."
17,"Среди трех основных команд, претендующих на золотые медали, специалисты выделяют сборную Швейцарии. Эта сборная стремится стать чемпионом уже несколько лет подряд: ранее она доходила до финала двух последних турниров. Возможно, преимущество своего льда позволит ей достичь цели. На турнире выступят практически все известные хоккеисты Швейцарии, включая Романа Йоси.

Сборная Швеции также обладает хорошей командой. Этот коллектив состоит из игроков НХЛ и представителей европейских лиг. Ведущим игроком является лидер команды ""Детройт"" Лукас Рэймонд, набравший в предыдущем регулярном сезоне НХЛ 76 очков.

Состав сборной Чехии сбалансирован, однако особых выдающихся игроков среди них нет. Несмотря на это, команде удается показывать хорошие результаты.

Сборная Германии на Олимпийских играх демонстрировала высокий уровень игры благодаря таким игрокам, как Леон Драйзайтль и Тим Штюцле. Однако на предстоящем чемпионате мира этой команде придется выступать с менее сильными игроками, поскольку обе указанные звезды (""Эдмонтон"" и ""Оттава"") уже завершили сезоны в своих клубах.

Сборная Словакии на Играх 2026 года была близка к завоеванию бронзовых медалей, но теперь на чемпионате мира ей предстоит справиться с большими трудностями. Важнейшим игроком команды является нападающий Юрай Слафковски, играющий вместе с российским спортсменом Иваном Демидовым в клубе ""Монреаль"" и участвующий в борьбе за Кубок Стэнли. Несмотря на это, словацкая команда вновь включает игрока Континентальной хоккейной лиги: в составе заявлен Адам Лишка, представляющий череповецкую команду ""Северсталь""."
18,"Бычья акула известна своей агрессивностью. О белом виде вы наверняка уже слышали достаточно информации. Однако ни один из этих агрессивных видов ни при каких обстоятельствах не будет плавать в Черном море, несмотря на наличие такой возможности.

Длиннокрылые и серые акулы также являются опасными и крупными видами, однако, как вы уже поняли, они тоже не заплывают в Черное море.

Причина этому следующая:

1. Воды Черного моря имеют низкую температуру, особенно зимой, и многие виды акул предпочитают избегать холодной среды.
2. В Черном море малочисленна рыба, которой недостаточно для пропитания крупных хищников. Акулам известно, что там отсутствует достаточное количество пищи, поэтому они туда не плывут.
3. Низкая солёность воды Черного моря неблагоприятна для акул. По законам природы, для этих животных наиболее комфортна среда с высокой концентрацией соли.
4. Около 90% черноморской воды насыщено сероводородом. Акулам знакомо негативное воздействие такого химического состава воды, поэтому инстинктивно они избегают мест с высоким содержанием газа. В Черном море глубже 100 метров жизнь отсутствует, тогда как акулы предпочитают глубоководные места.
5. Экологическая система Черного моря деградирует, условия окружающей среды ухудшились.

Последняя причина: даже самые агрессивные акулы вряд ли решатся пересекать пролив Босфор, где постоянно движется большое число кораблей.

Однако в Черном море обитают небольшие виды акул, условно называемые декоративными. Это катран и кошачья акула. Они похожи на настоящих акул лишь частично и не представляют угрозы человеку.

Официально до настоящего момента не зафиксировано появления опасных для людей акул в Черном море, однако теоретически это вероятно."
19,"В ноябре 1916 года строительство Великого Северного пути включили в программу государственного железнодорожного строительства.

Вскоре произошли значительные события, оказавшие влияние на дальнейшие исторические процессы.

Всего предпринимались пять попыток реализации проекта на протяжении ста лет.

Первая попытка: начало 1920-х годов.
Новое правительство снова обратило внимание на проект.
Ввиду недостатка финансовых ресурсов рассматривалась возможность привлечения иностранного капитала, поскольку была осознана важность северного транспортного коридора.
Эксперты предложили приостановить работы для проведения аналитической оценки ситуации.
Принимая во внимание тяжелое экономическое положение страны, реализацию проекта отложили.

Вторая попытка: 1930-е годы.
Принято решение осуществлять строительство собственными силами. Изучение восточных участков будущей магистрали началось именно тогда, речь идет о строительстве Байкало-Амурской железнодорожной магистрали.
Рабочие сталкивались с чрезвычайно сложными условиями ведения работ в труднопроходимых лесных массивах.
На протяжении нескольких лет были построены сотни километров путей благодаря большим усилиям людей.
Однако в 1941 году рельсы, уже установленные в лесах, пришлось демонтировать и отправить в составе железнодорожных поездов.
Получившиеся железнодорожные линии использовались в ходе оборонительных действий на Волге под Сталинградом для обеспечения поставок вооруженным силам.
Железнодорожные пути Сибири послужили источником материалов для нужд обороны государства.

Третья попытка: 1950-е годы.
Предпринималась серьезная попытка построить Трансполярную железную дорогу от Салехарда до Игарки.
Строительство оказалось невозможным вследствие неблагоприятных природных условий: особенностей климата, вечной мерзлоты и болотистых территорий, уровень развития техники оказался недостаточным.
Проект закрыли.

Четвертая попытка: 1970-е годы.
Байкало-Амурскую магистраль официально назвали важнейшей стройкой десятилетия.
Восточная часть трассы действительно была успешно построена, демонстрируя инженерный талант и трудолюбие советских специалистов.
Западная же часть Великого Северного пути осталась нереализованной.

Пятая попытка: настоящее время.
К концу 2025 года специалисты представили отчет о дальнейших перспективах строительства магистрали.
Ситуация оказалась сложной: стоимость проекта составляет около 50 триллионов рублей. В современных экономических условиях реализация проекта признана несвоевременной."
20,"В Москве зафиксирован новый способ хищения денежных средств через банкоматы, сообщила потерпевшая Мария Беликова агентству «Общественная служба новостей».

Мария посетила офис Сбербанка, использовала свою бесконтактную карту Visa Gold в банкомате. Согласно стандартной процедуре, устройство запросило PIN-код, после ввода которого произошло автоматическое списание суммы в размере 5000 рублей на мобильный счет оператора «Билайн», принадлежащий неизвестному лицу. Ввод номера мобильного телефона и подтверждение операции потерпевшая не осуществляла, о факте транзакции она узнала благодаря поступившей СМС-сообщению. Сообщив банку о произошедшем, Мария получила информацию, что списание средств произведено посредством функционала Сбербанк Онлайн через банкомат. Все банковские карты женщины были немедленно заблокированы, выпущена новая карта взамен старой.

Женщина незамедлительно связалась с горячей линией компании «Билайн». После проверки выяснилось, что деньги с указанного счета исчезли мгновенно, возврата средств оператор связи не гарантирует.

По словам Марии, вина лежит на Сбербанке и используемом банкомате с функцией бесконтактной оплаты. Согласно предположениям пострадавшей, мошенник заранее инициировал операцию, заполнил необходимые поля, указав сумму и номер телефона жертвы, однако завершил процедуру неполностью. Затем банковское оборудование продолжило находиться в активном состоянии, после чего жертва внесла свою карту и ввела PIN-код, завершив начатый злоумышленником процесс и позволив списать собственные денежные средства. Женщина уверена, что имела место попытка проникновения в систему банкомата Сбербанка, которое стало возможным из-за ошибки оборудования.

Несмотря на скептическое отношение, Мария подала жалобу в Сбербанк. К удивлению заявительницы, сотрудники оперативно возвратили похищенные средства и проявили сочувствие и повышенное внимание.

При беседе Мария отметила, что коллеги из полиции отказались возбуждать уголовное дело, сославшись на отсутствие признаков преступного деяния, поскольку владелец карты самостоятельно вводит PIN-код. Сотрудникам банка Мария заявила, что случай произошел вследствие технической уязвимости устройства, однако представители банка официально это отрицали.

Сотрудники Сбербанка рекомендовали потерпевшей в будущем перед началом операций с банкоматом сначала нажимать клавишу отмены, чтобы предотвратить подобные инциденты.

Пресс-служба Сбербанка разъяснила, что при выявлении факта несанкционированного списания денежных средств клиенту необходимо срочно уведомить службу безопасности банка, заблокировать карту и счета, после чего подать письменное обращение в ближайший офис банка и сообщить о случившемся в правоохранительные органы."
21,"Информационные потоки и структура управления школами

В настоящее время существует проблема, связанная с информационными потоками. Общество получает большое количество разнообразной информации, однако обсуждение этой темы часто сводится к поверхностному обсуждению понятий вроде «цифровизации», сопровождаемым громкими заявлениями, лишенными конкретного содержания. Такая дискуссия позволяет использовать финансовые ресурсы, выделяемые на решение проблемы.

Между тем, истинные сложности заключаются в другом. Культура взаимодействия между людьми ослаблена. Отсутствие должного уважения к старшим и специалистам привело к доминированию финансовых ценностей, что отражается и на воспитании молодого поколения. В этих условиях система школьного образования теряет эффективность, поскольку старые образовательные учреждения не способны справляться с задачей передачи знаний и воспитания молодежи.

Руководители образовательных учреждений сталкиваются с серьезными трудностями. Их деятельность проходит в условиях, когда им приходится учитывать две противоположные системы требований: с одной стороны, реальная ситуация в школах и необходимость решения существующих проблем, с другой стороны — требования и предписания вышестоящих органов власти, которые нередко противоречат школьным нуждам. Такое положение дел вызывает серьезные конфликты внутри сознания руководителей школ, приводящие к стрессу и дезориентации. Эти трудности становятся очевидны многим экспертам и исследователям, отмечающим невозможность одновременного выполнения взаимоисключающих функций."
22,"Передаю хорошие новости любимой газете. Многие годы я оказываю помощь беспризорным животным. Сегодня с уверенностью сообщаю, что количество людей, поддерживающих меня, существенно увеличилось благодаря публикации материалов в «Новороссийском рабочем».

На страницах газеты я рассказала о своем волонтёрстве и познакомилась с неравнодушными людьми, многие из которых помогли мне.

Например, акция «Сдать макулатуру — обеспечить питание беспризорных животных» получила поддержку учеников множества городских школ. Учащиеся, сдавая макулатуру, вносят вклад в сбор средств на корм животным и одновременно получают полезную информацию о переработке вторсырья. Они начинают понимать различия между материалами: почему, например, картон тяжелее, но имеет меньшую стоимость.

Участвуя в «Марафоне инициатив», организованном депутатом ЗСК А.Н. Карапенко, мы вышли на новый этап взаимодействия со школьниками. В школьных учреждениях установят специальные ёмкости для сбора пластиковых отходов, которые тоже отправятся на переработку. Полученные деньги пойдут на покупку еды и медикаментов для животных, находящихся под нашей опекой.

Сбор пластика стал новым этапом деятельности нашего объединения. Я сама выяснила много нового, узнав, что не вся пластмасса подходит для переработки. Школьники же получают новые знания, проявляя большой интерес и легко усваивая материал. Возможно, кто-то из них станет экологом в будущем, но главное — дети вырастут хорошими людьми, заботливыми и внимательными к животным.

Это стало очевидным, когда я заметила первого класса, серьезно объясняющего старшему товарищу, что нельзя бросать бумажный мусор в общий контейнер. Ребенок отвёл друга к правильному контейнеру, чтобы «собранная бумага помогла прокормить голодающих кошек».

Часто задают вопрос, сколько макулатуры потребуется сдать, чтобы приобрести корм. Один кубометр бумаги принесёт доход около 4,5–5,5 тыс. рублей. Килограмм корма сейчас стоит примерно 550 рублей. Для полноценного питания всех животных на один приём пищи требуется около 15 кг корма. Следовательно, ещё предстоит большая работа по сбору средств на обеспечение животных питанием. Несмотря на это, даже однодневный запас является значительной помощью."
23,"Мем, привлекший интерес подростков во всём мире, не обладает чётким смысловым содержанием. Фраза появилась в песне исполнителя Skrilla «Doot Doot (6 7)», где цифры использованы исключительно для соблюдения ритма и благозвучности. Согласно иной точке зрения, фраза связана с ростом баскетболиста Ламело Болла — примерно 201 см. Мем стал популярным благодаря связанному с ним характерному движению рук, когда кисти обеих рук поднимаются и опускаются попеременно. В 2025 году издание Dictionary.com признало слово «six-seven» одним из наиболее распространённых, однако авторы энциклопедии не смогли предложить ясной трактовки термина. Термин «67» представляет собой типичный пример бессмысленного мема, приводящего человека в замешательство и вызывающего трудности восприятия, но именно такая бессмыслица и привлекает молодых людей.

Специалисты-филологи считают причиной популярности фразы отсутствие у неё какого-либо содержательного значения и одновременно наличие важной функции — служить знаком причастности к определённой молодёжной культуре. Проговорив слова «six-seven», подросток заявляет: «Я принадлежу к нашей группе, понимаю её специфику, я не взрослый». Именно этот фактор вызывает сильное недовольство учителей в разных странах. Преподаватели из Соединённых Штатов сообщают, что любая числовая последовательность, содержащая числа шесть или семь, провоцирует хаотичное поведение школьников, учащиеся начинают синхронно произносить ставшую популярной фразу и повторять характерные телодвижения.

Ситуация усугубилась в России, поскольку мем перешёл из интернет-пространства в повседневную реальность с нежелательными результатами. Например, в Саратове подростки начали беспокоить жителей домов под номером 67, звоня в домофоны и выкрикивая «шесть-семь», после чего быстро скрывались, записывая реакции раздражённых жильцов на видео. Члены Лиги безопасного интернета, в частности Екатерина Мизулина, уже высказывались относительно возникшей проблемы, в департаменте образования Перми провели разъяснительные беседы с учениками по поводу подобных шуток."
24,"Министерство транспорта разработало стандартный образец правил для пассажиров метрополитена, согласно которому предлагается внести запрет на транспортировку детей в детских колясках в метрополитене. Документация была опубликована на веб-сайте нормативных правовых актов 19 апреля.

Документ предусматривает запрет пассажирам метрополитена использовать детские коляски, быстро передвигаться по движущимся лестницам-эскалаторам, осуществлять фотосъемку и видеозапись профессиональным оборудованием и стационарными устройствами. Также проектом вводятся ограничения на размещение ручной клади на местах для сидения внутри вагонов и на лавочках станций.

Кроме того, проектом предусматриваются запреты на вмешательство в функционирование оборудования беспроводной связи и использование беспилотных летательных аппаратов в подземных транспортных сооружениях.

Проектом также установлено обязательство пассажира предоставлять приоритет в проходе инвалидам, лицам преклонного возраста, родителям с детьми и беременным женщинам. Ранее данное положение носило необязательный характер.

Министерство транспорта уточняет, что указанный нормативный акт начнет действовать после вступления в силу Федерального закона № 442-ФЗ «О внеуличном транспорте и внесении изменений в отдельные законодательные акты Российской Федерации», то есть с 30 декабря 2018 года."
25,"Работодатели отмечают нежелание молодых людей работать. Владельница магазина корейской косметики Татьяна Вакарчук утверждает, что студенты сразу выдвигают требования к условиям труда: желаемый график, зарплату и дополнительные бонусы в виде скидок на товары. Однако такие стимулы не удерживают студентов на работе: они могут регулярно опаздывать без предупреждения или внезапно прекратить сотрудничество без разъяснения причины.

Студенты предпочитают комфортные условия и интересную деятельность. Ранний подъем, длительная смена в торговом центре, общение с клиентами и продажа товаров вызывают у них неприятие. Несмотря на возможность получать процент от продаж в дополнение к фиксированной зарплате, современные молодые люди редко беспокоятся о будущем — чаще всего им хватает заработанных средств лишь на простое питание. Концепция жизни современных девушек и юношей заключается в принципе, согласно которому лучше вовсе не ходить на работу, чем заниматься деятельностью, вызывающей дискомфорт.

Управляющий сетью кафе Вадим Терехов также отмечает отсутствие профессиональных амбиций среди современной молодежи. По его словам, несколько лет назад основную массу сотрудников ресторанов составляли студенты, работавшие добросовестно и ответственно. Сейчас же эта роль перешла к сотрудникам старшего возраста, которые трудятся значительно усерднее.

Молодежь, по мнению Терехова, демонстрирует недостаточную надежность и профессионализм. За прошедший год почти ежемесячно студенты-официанты прекращали выходить на смены без уведомления и игнорировали телефонные звонки. Ранее, примерно пять лет назад, ситуация выглядела иначе: сотрудники-студенты работали стабильно и ответственно, имели хороший доход, поскольку заработок официантов зависел от интенсивности их труда.

Терехов подчеркивает, что большинство современной молодежи довольствуются малым, предпочитая избегать больших усилий ради большего заработка. Например, опытный официант среднего возраста готов обслуживать большее количество столов за одну смену, понимая прямую зависимость дохода от объема выполненной работы. 18-летнему сотруднику гораздо важнее свобода и легкая занятость, нежели высокий заработок.

По мнению управляющего, изменить отношение молодежи возможно только путем возникновения критической ситуации, когда нехватка средств заставит отказаться от личных желаний и принять необходимость следовать требованиям работодателя. Когда человек оказывается в сложном положении, он отказывается от попыток навязывать окружающим свою волю и адаптируется к реальности и объективным жизненным обстоятельствам."
26,"В декабре 2022 года президент Российской Федерации Владимир Путин предложил правительству использовать средства Фонда национального благосостояния (ФНБ) для финансирования льготного лизинга воздушного и водного транспорта.

Программа поддержки лизинга гражданских воздушных судов рассчитана до 2030 года и предусматривает совместное финансирование поставок на рынок более 450 самолётов и 460 вертолётов, сообщили представители ""Ростеха"". Техника приобретается лизинговыми компаниями для дальнейшей передачи авиаперевозчикам по сниженным ставкам, наибольший объём заказов предполагается передать Государственной транспортной лизинговой компании (ГТЛК).

В 2023 году из ФНБ было выделено около 300 млрд рублей на приобретение 162 самолётов для авиакомпаний ""Аэрофлот"", S7, ""Уральские авиалинии"" и ""Аврора"". Наибольшая сумма — примерно 250 млрд рублей — пошла на покупку самолётов для ""Аэрофлота"". Эти деньги были использованы на закупку иностранного авиационного оборудования.

Кроме того, средства ФНБ также предоставлялись некоммерческому лизинговому центру (НЛК) под 1,5% годовых сроком на 15 лет. ""Аэрофлот"" получил самолёты от НЛК в оперативный лизинг, тогда как частные перевозчики получили их в финансовую аренду (по истечении срока договора воздушная техника перейдёт в их полное владение). Платежи ""Аэрофлота"" по лизинговым обязательствам будут покрываться за счёт доходов компании. Однако стоит учитывать, что в 2023 году чистая прибыль ""Аэрофлота"" составила всего 7,274 млрд рублей, тогда как год назад она была отрицательной (-49,943 млрд рублей). Таким образом, собственные доходы вряд ли позволят покрыть лизинговые обязательства.

Положение выглядит ещё хуже: коммерческие и административные затраты ""Аэрофлота"" практически равны доходам компании и составляют соответственно 6,438 млрд и 10,592 млрд рублей.

Компания отмечает, что основное сокращение коммерческих затрат на 46,9% (на сумму 5,964 млрд рублей) произошло благодаря внедрению отечественной системы бронирования ""Леонардо"". Несмотря на это, ""Аэрофлот"" продолжает контролировать расходы.

Остаются неясными причины выделения государственных средств частным авиаперевозчикам. Использование миллионов рублей на закупку зарубежных самолётов способствует поддержке экономики стран, отношения с которыми нельзя назвать дружественными. Получив государственные субсидии, российские авиакомпании впоследствии, лишившись финансовой поддержки, вероятно, поднимут стоимость билетов."
