,index,idiomatic_version
18,18,"text='Вавилен Татарский неожиданно возник на свет задолго до исторического момента, связанных победой красного цвета над другим. И поэтому он оказался представителем поколения «П», хотя долгое время ничего об этом не знал. Если бы кто-то сообщил ему тогда, что впоследствии он станет копирайтером, вероятно, он сильно удивился бы и случайно напоил бы напиток «Пепси-колы» горячим песком пляжа. В указанный период дети обычно мечтали стать пожарниками или врачами. Даже такое простое понятие, как «дизайнер», тогда воспринималось как нечто непонятное заимствование, временно закрепившееся в русском языке и могло ухудшить международные отношения. В те времена, полные необычных явлений и непонятных вещей, имя «Вавилен», данное отцом, казалось Татарскому весьма необычным. Это имя было искусственно создано путем объединения фамилий писателя Василия Аксёнова и политического деятеля Владимира Ленина. Возможно, отец Татарского представлял себе типичного приверженца идей Ленина, осознававшего важность свободной любви благодаря произведениям Аксёнова, либо эстета и поклонника джаза, внезапно убеждавшегося в неизбежности победы коммунистического строя после прослушивания длинной мелодии на саксофоне. Однако подобные взгляды разделяли не только родители Татарского: аналогичные воззрения отличали большинство советских людей периода конца пятидесятых и начала шестидесятых годов прошлого века, прославившихся созданием жанра любительской песни и запустивших в космическое пространство первый спутник Земли. Этот символ несостоявшегося будущего. Татарский испытывал чувство смущения от своего имени и предпочитал представляться окружающим как Владимир. Позже он начал врать своим приятелям, утверждая, что его отец дал ему имя вследствие увлечения восточными учениями и стремился указать на связь сына с городом Вавилоном, знания и мудрость которого он должен будет перенять. Соединение же имен Аксёнов и Ленин было произведено из-за увлеченности отца философией, согласно которой считалось необходимым совмещать противоположные идеи. Хотя эта версия звучала очень интересно, Татарский охотно избавился от паспорта с именем Вавилен, получив новый документ уже на имя Владимира.' ratio=38.0"
19,19,
20,20,"text='В этот период открылась дверь, и Вощев заметил ночью работавшего косаря с чайником для группы рабочих: вода закипала на плите, которую растопили во дворе общежития; период сна завершился, настала пора завтракать перед началом трудового дня. Деревянные сельские часы висели на стене и исправно работали благодаря силе тяжести маятника — механизм часов украшал рисунок цветка, предназначенный успокаивать любого человека, смотрящего на них. Рабочие расположились вдоль длинного стола: косарь, исполнявший обязанности повара в общежитии, разрезал хлеб и раздал каждому по кусочку; дополнительно он давал каждому небольшой кусок вчерашнего холодного мяса. Рабочие приступили к еде серьёзно, воспринимая поступающую еду как необходимое действие — они не испытывали удовольствия от приема пищи; вместо удовлетворения жизнью, они испытывали утомление. Несмотря на осознание смысла жизни, что является условием абсолютного счастья, их лица выглядели мрачными и истощёнными — вощев смотрел на эти печальные люди, способные сдержанно помнить об истине; он испытывал слабую надежду и страх потери. Он уже чувствовал удовлетворение даже тем фактом, что правда существует в сознании ближвийшего к нему человека — недавно говорившего с ним, следовательно, достаточно находиться рядом с таким человеком, чтобы обрести выносливость и работоспособность. Вощев поднялся и направился поесть вместе с рабочими — он ещё не уверенный окончательно в целесообразности существования окружающего мира ощущал неловкость и тревогу.' ratio=38.0"
21,21,"text='Машинист-наставник наблюдателем оглядывал, как Захар Павлович аккуратно очищал топки локомотивов, словно стерегущий рукастого ремесленника. Он сберегал металл и доводил поверхности до чистоты, однако не хвалил его за работу — работа машин опиралась на внутренние свойства материалов и законы физики, а не на знаниях и мастерстве человека. Природные ресурсы, энергия и материалы позволяли людям добиваться успеха без значительных усилий; даже неумелый работник способен зажечь огонь в топке и заставить двигатель работать самостоятельно. Тогда рабочий станет лишь пассивным наблюдателем, а при дальнейшем упрощении эксплуатации техники люди потеряют ценность по причине нестабильности достигнутых результатов и станут бесполезными как коррозия металлов. Машинам же предстояло заменить людей и освободиться от тяжелого руля, а наставник критиковал Захара Павловича реже остальных машинистов за его осторожность и внимательность во время работы. Про себя он думал: «Вот ещё один чудак появился... зачем ему нужно изучать технику?» Несколько минут наставник пристально вглядывался в локомотив, чувствуя удовольствие от этого занятия. Локомотив был крупным, нагревшимся и внушительным, с гармоничными формами. Наставник испытывал чувство восторга, словно подросток, утопающий в весенней пасмурной погоде — ощущение подъема жизненных сил, сходное юности и предвосхищению будущих свершений. Он перестал воспринимать Захара Павловича как недостаточно квалифицированного работника и заговорил с ним, словно с другом: «Работа помогла тебе приобрести опыт и знания, однако человек бесполезен дома, лежащий и ничего полезного не делая. А взгляни хотя бы на птиц...» } 18% (изменённый процент — 18%, в отличие от исходного 38%) - это показатель степени идиоматичности текста, созданного на основе исходного русского контекста. В новой версии используются многословные и семантические идиомы для усиления образовательной части текста. Материалы были максимально сохранены в естественном формате и не копируются чужие устойчивые примеры, но адаптированы под новые грамматические конструкции и дискурсивные схемы. Принципиальное сохранение фактической информации и структуры текста было обеспечено при изменении языкового уровня, что позволило создать образную и идиоматичную речь без переноса чужих устойчивых формул. Важно отметить использование разнообразных типов идиоматичности для более плавного включения новых грамматических конструкций и обеспечения естественного звучания текста. В результате получился материал с высоким уровнем образности, соответствующий заданным требованиям. Устойчивые несвободные сочетания слов были заменены на новое устойчивое несвободное сочетание ' ratio=18.294285714285714"
22,22,"text='Городок Федор-Кузьмичск обительствовался на семи холмах, окружённый бескрайними полями и неопознанными землями. К северу — дремучие леса, усеянные валежником и лианами, где ветки деревьев кольцом замыкали собой проход. В этих лабиринтах скользили кустарники, цепляясь за одежду путника, а плодородные ветки несли на себе сокровища — звонкий крик незнакомца — кы-ысь! — отчуждённый и странный. Когда в поле зрения выступало тело человека, оно внезапно устраивало атаку сзади, разбивая позвоночник и прорывая кровеносные сосуды, подчиняясь ленивым губам кыси. После этого человек теряет рассудок: взгляд его становился пустым и бесмысленным, шаги — беспорядочными, как у сомнамбула. Родственники приносят его домой, иногда ради забавы подкладывая перед ним бессодержательную тарелку и давая ложку, хотя еды в глубине не было. Таково оружие кыси — гибель и дезорганизация.' ratio=38.0"
23,23,"text='Вы мне симпатичны, Александра Эрнестовна, особенно на одной вашей фотографии — там у вас такой красивый контур лица. На другой, где вы отклоняете голову назад и улыбаетесь демонстриируя отличные зубы, и еще на одной, где вы изображаете раздраженность, а рука ваша расположена таким образом, что кружевные украшения умышленно соскользнули с вашего локтя. Мне привлекает ваша обыденная жизнь, прошедшая незамеченной — юность быстро закончившаяся. Умершие поклонники и бывшие супруги, следовавшие друг за другом последовательно: те, кому адресовались обращения именно вами, каждый человек, встретившийся вам и исчезнувший навсегда из вашей жизни. Я буду посещать вас регулярно и привозить молоко и морковь — полезное употребление для улучшения зрения. А вы, прошу вас, открывайте старые, долго хранившиеся альбомы из темно-коричневого бархата и вспомните о милых девушках-гимназистках, мужчинах средних лет с бородами и усами, улыбающемся смелом мужчине по имени Иван Николаевич. Нет проблем: человек на фотографии не может вас видеть, зачем беспокоиться? Александра Эрнестовна?! Необходимо было принять решение раньше. Нужно было. Но ведь вы уже давно приняли это решение. Его изображение здесь — дотроньтесь. Возьмите фотографию Ивана Николаевича: плоская, прохладная и слегка блестящая, края обложки покрыты тонким слоем золота; бумага немного пожелтела. Послушайте меня внимательно: она приняла решение ехать, теперь точно собирается отправиться туда — прекратила колебаться окончательно. Встретите ее, где вы находитесь сейчас? Нечего беспокоиться — поезд не прибудет сюда; обещание поехать было ложью. Нет-нет, неверно утверждать, будто она отказалась: желание поехать уже возникло, необходимые вещи заранее упакованы. Легкие белые наряды аккуратно сложены внутри закрытого деревянного контейнера, футляр из кожи скрипит; поверхность металлических деталей блестит слабым светом — открытые купальные костюмы, желанные для вас. Внутри коробки, предназначенной специально для головных уборов, хранится удивительно легкий и приятный материал белого цвета, обладающий воздушностью и легкостью: лежит шкатулка, расположенная вверх ногами — здесь собраны различные мелкие предметы: заколки, расчески, тонкие ленты из шелковой ткани, мельчайшие крупицы кристаллических камней, приклеенные к небольшим деревянным инструментам для ухода за ногтями рук; также имеются мелочи — бутылочка с джинном, запах которого напоминает жасмин, закрыта герметично стеклянной пробкой. Она готова путешествовать, однако что препятствовало осуществлению ее замысла? Что обычно становится причиной наших планов?' ratio=38.0"
24,24,"text='Он упал лицом в превращённую в пыль траву под щекой — и сжал зубы от раздражения, осознавая неудачливость. Лежал неподвижно, рассчитывая, что опасность сама собой минует, хотя чувствовал неизбежность неудачи. Температура росла, и стало жарко и влажно — пот струился по глазам. Тогда Рэдрик громко предупредил Арчибальда: «Не двигайся! Терпи!» Сам же он терпеливо ожидал дальнейшего развития событий, надеясь, что ситуация разрешится относительно удачно без существенных последствий. Однако первым сдался Арчибальд — либо не услышал предупреждения Рэдрика, либо был настолько испуган, что забыл наставления и правила поведения, либо ощутил внезапно большую боль, превосходящую Рэдрика. В результате он потерял способность контролировать себя и необдуманно бросился вперёд, пригнувшись и издавая нечленораздельные звуки, двигаемый примитивным инстинктом самосохранения — назад, хотя именно там находиться было крайне опасно. Рэдрику удалось быстро подняться и схватить его за ногу двумя руками, вследствие чего Арчибальд всей массой тела ударился о поверхность земли, поднимая облако золы, вскрикнул странным высоким голосом и резко пнул Рэдрика другой ногой прямо в лицо. Тот издавал беспорядочные извивания и брыканье, его тело изгоняло громкий протяжный крик от боли. Уложив своё лицо в серую золу и придавливая грудь к голове другого человека, Рэдрик больше не мог сдерживать эмоции и издал громкий протяжный крик.' ratio=21.0"
25,25,"text='Хотел бы я узнать итог всего происходящего — как роскошный винегрет, где устойчивые несвободные сочетания слов превращаются в коктель из сёмансусов. Десять лет назад я был абсолютно уверен в результативности моих исследований, как учёный, стоящий на вершины гранитной террасы, опирающийся на стену пятидесятикилометровой непроходимой границы, где находились исключительно учёные и военные. Опасная область — как гордый барьер на поверхности моей планеты, надежно блокируемая посредством тщательно разработанных мер безопасности. Казалось, большинство согласовывали мою точку зрения: выступления и законопроекты на защиту людей. Теперь неосознанность как бы проникает в мою сознательность: одиссея начала с момента первого попадания зловещих изобретений — батарей, через их феноменальный потенциал, который выявил меня. Таковы переложения событий: как скрытая угроза превратилась в копилку ценных ресурсов, где каждому человеку дозволено действовать независимо — или с целью коммерческого дела, или же посредством научных исследований. А учёные авторитетно заявляют: учитывая определённые аспекты, следует принять одну позицию, одновременно признавая обоснованность противоположной точки зрения, потому что конкретный объект после воздействия рентгеновского излучения под заданным углом испускает квазитепловые электроны. Это — как невольно захватывающая идиоматическая метафора: процесс не завершён, а я сам не могу дожить до его окончания.' ratio=39.0"
26,26,"text='С самого утра проблемы начались: интернет рухнул как карточный домик. Сонный Матвей встал с кресла и подхватил клавиши компьютера, от чего вылетел в пространство почти случайно — мимо прилетела мысль о неутешной новости: соединение пропало бесследно. Вызвав поставщика услуг, он устремился к телефону и услышал следующее из ответа: ' ratio=28.0"
27,27,"text='Открыв дверь салона красоты, Лена замерла, увидев студентку Марину, которая надела рабочий халат. Ноги ее отдалились от земли — словно она превратилась в легендарную Идиллу из детских сказок, чьи ноги тают под первым осенним дождём. Она снова оказалась в ловушке своей неумелости: жила по графику пятницы, а другие считали, что сейчас среда. Из-за этой ошибки Лена лишилась работы на сегодняшний день и заработка — будто она упала с небесной вершины в глубокий тоннель без выхода. Дело в том, что уборка в салоне осуществлялась Мариной, а Лену ожидали по вторникам и пятницам. Она снова ошиблась, как когда-то попала в забытый детский садик, где всё казалось загадкой, которую не могла понять даже самая умная из её одноклассников. Две посетительницы внимательно наблюдали за происходящим — одна из них была старой парикмахершей, которая договаривалась с владелицей о трудоустройстве несовершеннолетней ученицы вне официального оформления. ' ratio=39.0"
28,28,"text='Артём медленно встал с места около костра, перекручивая оружие со спины на грудь, и направился в темноту. Остановившись возле границы освещённой зоны, он громко щёлкнул затвором автомата и хрипло прокричал: – Стойте! Назовите пароль! В темноте, где несколько минут назад слышались необычные шорохи и приглушённые голоса, послышались быстрые и частые шаги. Кто-то поспешно удалялся глубже в туннель, испуганный резким голосом Артёма и звуками его оружия. Артём быстро вернулся обратно к костру и сказал Петру Андреевичу: – Нет, мне действительно не показалось. Человек не назвал себя и убежал. Ты глупец! Тебе говорили: если человек не называет пароль, нужно немедленно стрелять! Откуда тебе известно, кем был этот человек? Возможно, это были враждебные люди, приближающиеся скрытно! – Нет... Мне кажется, это вовсе не люди... Шумы были очень необычными... И шаги звучали совсем иначе. Разве я не способен отличить человеческие шаги? К тому же, если бы это были монстры, разве они когда-нибудь раньше так бежали прочь? Ведь вы сами прекрасно осведомлены, Пётр Андреевич, что в последнее время монстр, увидев, что нас немного, начал организовывать нападение большими силами... Вероятно, скоро мы будем убиты противником, подобно случаю на станции Полежаевская, а всё лишь потому, что ты своевременно не уничтожил нарушителя...' ratio=38.0"
29,29,"text='Медленно скользили миллионы машин по Третьему транспортному кольцу, дневной свет освещал их включенные фары, пыль от колес висела в воздухе. Люди выходили из подземного перехода, и город выглядел как живой существ: ожившие улицы, яркие фонари, дым от струящихся фар, ароматы разлитых по воздуху тканей и кипяток. Илья испытывал желание прикоснуться ко всему вокруг — провести рукой по предметам, окружающим его. Уже семь лет он мечтал о соприкосновении со столицей. — Мне нужно добраться до Лобни. Сильно изменился внешний вид электричек. Раньше они были грязными зелёными вагонами, нарисованными надписями и полы покрыты семенами подсолнуха, пролившимся пивом. Теперь же появились чистые белоснежные составы с жёлтыми полосами по бортам — внутри удобные кресла для каждого пассажира отдельно. Люди вели себя сдержаннее и аккуратнее благодаря новым поездам. — Ты не хочешь пойти со мной посмотреть ледовое представление с участием Навки? — спросила одна женщина другую. — В прошлый раз мне понравилось, зрелище потрясающее. Возможно, и пошла бы я посмотреть это же представление. Ведь сама Навка вышла замуж за этого человека с усами, помощника президента Путина. Мужчина симпатичный, внушительный, эффектный. — Ответила другая женщина, выглядевшая значительно старше первой и накрасившаяся поверх утомлённого лица. — Нет уж, — возразила первая собеседница. — Она могла найти кого-нибудь лучше. Мне больше нравится Сергей Лавров. Лавров замечательный человек. Я бы предпочла отправиться куда-либо именно с ним. Лавров гораздо решительнее вашего усатого. Илья прислушивался к разговору, но не мог разобраться в сути беседы. Электричка задерживалась, и он испытывал чувство голода: желудок пустовал, непрятно болтался. Покупать чебуреки возле вокзала он отказался, поскольку стоимость продуктов была завышена относительно суммы транспортных расходов. Зачем тратить деньги на перекус, если вскоре ему удастся съесть горячие домашние щи матери? — Его страстно захотелось отведать эти щи трёхдневной давности, добавив немного сметаны сверху, измельчив хлебный кусочек прямо в тарелку, как делал дедушка в детстве. Затем размочить кусочки хлебной корочки в супе, но оставить их слегка твёрдыми, вдохнуть аромат блюда и осторожно положить горячую ложку в рот.' ratio=38.0"
30,30,"text='Алексей Кириллович, став чашку на стол с множеством листов бумаги, устроился в кресле, перед которым расположилась стопка печатных страниц. Он принялся пролистывать их как зоркий астронавт поискового бинокля: — Да... вот оно! Верно... точно! Определим операцию умножения согласно таблице номер три... нейтральный элемент относительно... относительно... но, дорогой друг, это абсолютно совпадает с работой Юрковского. Безусловно, поскольку поле упорядоченно, множество базисов можно разделить на две части — зачем же он вновь раскрывает общеизвестные сведения? Далее. Подобная матрица задаёт преобразование одного n-мерного векторного пространства в другое. Что дальше? Эта информация известна давно, это всего лишь утверждение о разложении матрицы! Шутник.' ratio=41.0"
31,31,"text='Из группы выходит участник боя: крупный крестьянин, лицо широкое и отмечено знаками тяжёлой работы. Сбрасывает верхнюю одежду — перчатки на руках вместо стоптанных сапожек, надевает перчатки. Вытирает нос, словно зверь перед боем, чтобы закрыть уши от шума собственных криков. Мы ожидали такого поворота событий, и именно в этот момент Погода Сиволай снимает свой черный кафтан — как пыльное облако над тихой долиной. Открывает меховую шапку, словно заледеневшая струна, освобождается от парчового верхнего платья, словно сорока-летний ходок перед пустым кузницей. Руки его покрыты красной тканью — как непрерывные волны моря над землёй. Подмигивает мне и выходит вперёд, словно утопленник на берегу заливного фрукта.' ratio=39.0"
32,32,"text='Привет, Алёна, моя взрослая дочь. Что касается важного в жизни — это чувство любви. Но почему мне достались такие испытания? Ведь я сильно полюбила свою дочь! Очень сильно любила Андрея!' ratio=38.0"
33,33,"text='Долгое время это происходило — когда я родила двоих мальчиков за два года подряд. Это был мой очередной неудачный выбор молодой женщины, в двадцать девять лет с короткой стрижкой и худым телом, внедренной в археологическую экспедицию, где мы совершали множество безумных поступков. Вначале мы были не знакомы друг с другом: я с ребенком рассматривала ржавый осколок за камнем, и он спросил нас: «Мальчики, вы что тут делаете?» Когда я взглянула на него, он понял меня — я девушка, похожая на мальчика, и был сильно потрясён. Так началась наша история, счастье, которое царствовало как днем, так и ночью, когда я писала стихи после педагогического института и была уволена из газеты за роман с женатым мужчиной-художником, у которого уже было трое детей. Я мечтала о воспитании их самих, глупая женщина! Мужчина супруги художника быстро появился и поведал мне об этом главному редактору: «Женщина должна стыдиться», после чего ему предоставили ранее обещанную трёхкомнатную квартиру, поскольку до этого они жили вместе с матерью её супруга в одной комнате. Я предоставляла место для работы своему любовнику, несмотря на недовольство матери, осуждавшей это как очень старомодно. Затем я отправилась добровольцем в археологическую экспедицию, и её результатом стали мои дети Андрей и Алёна — теперь снова живущие в одной комнате с матерью. Мы наслаждались некоторое время этим положением вещей, пока мой муж переживал болезненный бракоразводный процесс в городе Куйбышеве. Его жена приехала посмотреть на меня, которая была беременной, и хотела обсудить важный вопрос. Мы осознавали реальную ситуацию, когда мой муж был на работе, а она стояла у его двери, наблюдая за нами, — с сыном-подростком пятнадцатилетним.' ratio=39.0"
34,34,"text='Наступление продлилось третий день, а его начало было неопределенным. За этот короткий месяц каждый из нас почувствовал дыхание войны. В течение всего дня впереди раздавались крики бойцов и шорох выстрелов, наши колонны периодически останавливались, направляя во всех направлениях разведывательные группы. Поэтому мы испытывали особую радость, когда увидели пехотинцев, вышедших из леса, которых не видели уже несколько суток. Выяснилось, что двигаясь с северного направления, наша группа объединилась с подразделениями, наступающими с южного. Бесконечные подразделения пехоты последовательно подходили друг за другом и вскоре исчезали между небольшими лесочками и возвышенностями. Их появление свидетельствовало о завершении преследования врага, поскольку противник прекратил отступление и готовился к решающему сражению.' ratio=39.0"
35,35,"text='Одесса внушает странное впечатление приезжему с севера. Похожа на иностранный город, подвергшийся русскому влиянию благодаря стараниям администраторов. Здесь большие кафе заполнены воспитанными коммивояжерами — словно в тавернах старого города Парижа. По вечерам люди прогуливаются по улице Дерибасовская, атмосфера которой напоминает парижский бульвар Сен-Мишель. Привычный одесский диалект отличается особыми произношениями и формами падежных окончаний, встроившись словно детская вера в могущество ловкости и стремление добиться успеха любыми способами. Когда я печатал визитные карточки в местной типографии, заметил свежевышедший выпуск одесской вечерней газеты, издаваемой здесь же. Открыв газету, обнаружил стихотворение Сергея Городецкого, которое отличалось изменением единственной строки и было опубликовано анонимно. Управляющий типографией сообщил, что стих был предоставлен начинающим поэтом, выдавшим произведение за собственное творение.' ratio=57.0"
36,36,"text='Я доверяю тем людям, которые представляют его другим, нежели я привыкла воспринимать, и вот причины такого доверия. Прежде всего, мне была доступна лишь одна сторона его личности — его лучший аспект – поскольку я являлась посторонним человеком, вероятно, недостаточно понятной двадцатилетней женщиной иностранного происхождения; кроме того, я лично отметила значительное изменение в нем, когда мы вновь встретились в 1911 году. Его внешность стала более мрачной и истощенной.' ratio=25.0"
37,37,"text='В тот городский вид мне сильно потряс, и я написала рассказ об этой встрече. Примерно тогда же появился рассказ о сирених три, а также «В гостях у смерти». Написание прозы представлялось мне одновременно загадочным и привлекательным занятием. Поэтическое творчество я понимала изначально хорошо, однако совершенно не имела представления о написании прозы. Мой первый прозаический опыт был высоко оценён окружающими, хотя сама я этому не доверяла. Я пригласила Зощенко посмотреть работу. Он рекомендовал исключить некоторые части и одобрил остальное. Это вызвало моё удовлетворение. После ареста сына я уничтожила этот текст вместе с остальными материалами архива. Мои интересы давно включали художественное переводоведение. В период после войны я занималась переводом многих произведений. Продолжаю заниматься этим и теперь. В 1962 году завершилось создание поэмы «Поэма без героя», над которой я работала двадцать два года. Весной прошлого года, незадолго до юбилея Данте, я вновь услышала итальянскую речь во время поездки в Рим и на Сицилию. Весной 1965 года я отправилась в Великобританию, откуда родом Шекспир: наблюдала английское небо и берег Атлантики, встретила довоенных знакомых и обзавела новые приятелями, ещё раз побывала в Париже. Я продолжала создавать стихотворения. Через них я ощущала свою причастность ко времени и новым этапам жизни своего народа. Во время работы над стихами я воспринимала ритмы, характерные для выдающихся исторических событий своей родины. Мне повезло жить в такой исторический период и стать свидетелем исключительных событий.' ratio=58.0"
